4E07	万	3_0349
4E0E	与	2_AAAE/0_2F00
4E11	丑	3_0420
4E13	专	3_0516
4E1A	业	3_0259
4E1B	丛	0_2F00/5_2F081/0_2F08
4E1C	东	3_0401
4E1D	丝	0_2F00/3_0032
4E24	两	3_0488
4E25	严	0_2F00/3_0259/0_2F03
4E27	丧	3_0233/0_2F1F/3_0004
4E2A	个	0_2F08/0_2F01
4E34	临	2_AAB2/2_AAE5/2_ABCB
4E3A	为	3_0417
4E3D	丽	0_2F00/0_2F0C/0_2F02
4E3E	举	2_AACB/5_4E371/1_2E8D/0_2F00
4E44	乄	3_0550
4E49	义	0_2F02/3_0110
4E4C	乌	2_AAF4/0_2F00
4E50	乐	3_0503
4E54	乔	2_AAB7/0_2F03/0_2F24
4E55	乕	1_2E81/2_ABF6
4E60	习	3_0157
4E61	乡	3_0407
4E66	书	3_0553
4E67	乧	0_2F04/1_2E80/0_2F17
4E70	买	1_2E82/1_2E80/5_2F241
4E71	乱	1_2E83/0_2F32/0_2F1D
4E77	乷	0_2F04/1_2EA1/0_2F29/0_2F03
4E89	争	1_2E88/2_ABE3
4E8A	亊	3_0530
4E8F	亏	0_2F00/3_0159
4E90	亐	3_0537
4E9A	亚	3_0326
4EA7	产	0_2F74/0_2F03
4EA9	亩	0_2F07/0_2F65
4EB2	亲	0_2F74/3_0006
4EB5	亵	0_2F07/2_ABDE/1_2E98/3_0309
4EB8	亸	3_0137/0_2F07/0_2F1D/3_0004/2_ACE0
4EBF	亿	1_2E85/0_2F04
4EC5	仅	1_2E85/0_2F1C
4ECE	从	5_2F081/0_2F08
4ED1	仑	0_2F08/0_2F14
4ED3	仓	0_2F08/1_2E8B
4EEA	仪	1_2E85/0_2F02/3_0110
4EEC	们	1_2E85/1_2ED4
4F17	众	0_2F08/5_2F081
4F18	优	1_2E85/1_2E90/0_2F02
4F1A	会	0_2F08/0_2F06/0_2F1B
4F1B	伛	1_2E85/0_2F16/5_01101
4F1E	伞	0_2F08/3_0004/0_2F17
4F1F	伟	1_2E85/1_2ED9
4F20	传	1_2E85/3_0516
4F21	伡	1_2E85/1_2ECB
4F23	伣	1_2E85/1_2EC5
4F24	伤	1_2E85/2_FE52/0_2F12
4F25	伥	1_2E85/1_2ED3
4F26	伦	1_2E85/0_2F08/0_2F14
4F27	伧	1_2E85/0_2F08/1_2E8B
4F2A	伪	1_2E85/3_0417
4F2B	伫	1_2E85/0_2F27/0_2F00
4F53	体	1_2E85/3_0464
4F59	余	3_0006/0_2F08/0_2F00
4F63	佣	1_2EAE/0_2F71/0_2F07/0_2F10/5_01101
4F65	佥	0_2F08/0_2F00/1_2E8D
4FA0	侠	1_2E85/3_0170/3_0004
4FA5	侥	1_2E85/2_AAD9/1_2E8E
4FA6	侦	1_2E85/1_2E8A/1_2EC9
4FA7	侧	1_2E85/1_2EC9/1_2E89
4FA8	侨	1_2E85/2_AAB7/0_2F03/0_2F24
4FA9	侩	1_2E85/0_2F08/0_2F06/0_2F1B
4FAA	侪	1_2E85/0_2F42/2_AAB7
4FAC	侬	1_2E85/3_0456/3_0233
4FAD	侭	1_2E85/3_0429/1_2E80
4FE6	俦	1_2E85/2_ABB1/0_2F28
4FE8	俨	1_2E85/0_2F00/3_0259/0_2F03
4FE9	俩	1_2E85/3_0488
4FEA	俪	1_2E85/0_2F00/0_2F0C/0_2F02
4FEB	俫	1_2E85/3_0261/3_0004
4FED	俭	1_2E85/0_2F08/0_2F00/1_2E8D
503A	债	1_2E85/3_0180/1_2EC9
503E	倾	1_2E85/3_0043/3_0121/1_2EC9
507B	偻	1_2E85/5_2F761/0_2F25
507E	偾	1_2E85/1_2EC9/0_2F17/1_2EBE
507F	偿	1_2E85/1_2E8C/0_2F0D/0_2F06/0_2F1B
50A4	傤	1_2E85/1_2ECB/0_2F17/0_2F3D
50A5	傥	1_2E85/1_2E8C/0_2F0D/0_2F1D/0_2F09
50A7	傧	1_2E85/0_2F27/3_0381/5_4E371
50A8	储	1_2E85/1_2EC8/1_2EB9/0_2F47
50A9	傩	1_2E85/5_2F1C2/3_0088
50F2	僲	1_2E85/1_2EC3/0_2F23/2_AAD6
513F	儿	0_2F09
5170	兰	2_AAF9/0_2F06
5173	关	2_AAF9/0_2F24
5174	兴	5_4E371/1_2E8D
517B	养	2_AAB7/1_2EB7/3_0003
517D	兽	0_2F1D/3_0004/0_2F65/0_2F00
5181	冁	3_0004/2_ACE0/0_2F2B/3_0161/3_0233
5188	冈	0_2F0C/5_01101
5199	写	0_2F0D/2_AAAE/0_2F00
519B	军	0_2F0D/1_2ECB
519C	农	3_0456/3_0233
51AF	冯	0_2F0E/2_AAC4/0_2F00
51B2	冲	0_2F0E/3_0274
51BB	冻	0_2F0E/3_0401
51C0	净	0_2F0E/1_2E88/2_ABE3
51E4	凤	1_2E87/5_2F1C2
51E6	処	0_2F21/0_2F0F
51E7	凧	1_2E87/0_2F31
51E9	凩	5_2F4A4
51EB	凫	3_0082/0_2F0F
51EF	凯	0_2F0F/0_2F2D/3_0129
51FB	击	2_AACB/0_2F10
51FF	凿	3_0259/5_2F7A1/0_2F10
520D	刍	1_2E88/1_2E95
5218	刘	5_2F421/1_2E89
5219	则	1_2EC9/1_2E89
521A	刚	1_2E89/0_2F0C/5_01101
