4E00	一	0_2F00
4E01	丁	3_0224
4E02	丂	3_0159
4E03	七	5_00401
4E04	丄	3_0317
4E05	丅	3_0398
4E06	丆	3_0121
4E07	万	3_0349
4E08	丈	3_0517
4E09	三	3_0507
4E0A	上	3_0316
4E0B	下	3_0397
4E0C	丌	3_0384
4E0D	不	3_0310
4E0E	与	2_AAAE/0_2F00
4E0F	丏	3_0518
4E10	丐	3_0525
4E11	丑	3_0420
4E12	丒	0_2F11/0_2F02/0_2F00
4E13	专	3_0516
4E14	且	3_0270
4E15	丕	3_0310/0_2F00
4E16	世	3_0299
4E17	丗	3_0437
4E18	丘	3_0381
4E19	丙	0_2F00/3_0311
4E1A	业	3_0259
4E1B	丛	0_2F00/5_2F081/0_2F08
4E1C	东	3_0401
4E1D	丝	0_2F00/3_0032
4E1E	丞	3_0375/3_0490/0_2F00
4E1F	丟	3_0072/0_2F1B
4E20	丠	2_AADD/0_2F14/0_2F00
4E21	両	3_0368/0_2F10
4E22	丢	0_2F03/0_2F1F/0_2F1B
4E23	丣	2_ACB1
4E24	两	3_0488
4E25	严	0_2F00/3_0259/0_2F03
4E26	並	2_AAF9/3_0259
4E27	丧	3_0233/0_2F1F/3_0004
4E28	丨	0_2F01
4E29	丩	3_0463
4E2A	个	0_2F08/0_2F01
4E2B	丫	3_0391
4E2C	丬	1_2EA6
4E2D	中	3_0274
4E2E	丮	2_AACB/1_2E84
4E2F	丯	3_0217
4E30	丰	5_02151
4E31	丱	3_0527
4E32	串	3_0467
4E33	丳	3_0468
4E34	临	2_AAB2/2_AAE5/2_ABCB
4E35	丵	3_0259/5_2F7A1
4E36	丶	0_2F02
4E37	丷	3_0004
4E38	丸	5_03091
4E39	丹	3_0440
4E3A	为	3_0417
4E3B	主	0_2F02/3_0072
4E3C	丼	3_0458/0_2F02
4E3D	丽	0_2F00/0_2F0C/0_2F02
4E3E	举	2_AACB/5_4E371/1_2E8D/0_2F00
4E3F	丿	0_2F03
4E40	乀	3_0523
4E41	乁	3_0522
4E42	乂	3_0110
4E43	乃	3_0331
4E44	乄	3_0550
4E45	久	3_0455
4E46	乆	3_0367/3_0389
4E47	乇	0_2F03/3_0040
4E48	么	0_2F03/0_2F1B
4E49	义	0_2F02/3_0110
4E4A	乊	0_2F03/3_0004
4E4B	之	3_0457
4E4C	乌	2_AAF4/0_2F00
4E4D	乍	3_0363
4E4E	乎	3_0438
4E4F	乏	0_2F03/3_0457
4E50	乐	3_0503
4E51	乑	3_0505
4E52	乒	3_0381/0_2F03
4E53	乓	3_0381/0_2F02
4E54	乔	2_AAB7/0_2F03/0_2F24
4E55	乕	1_2E81/2_ABF6
4E56	乖	3_0273/2_AADD/0_2F14
4E57	乗	3_0545
4E58	乘	0_2F72/2_AADD/0_2F14
4E59	乙	0_2F04
4E5A	乚	1_2E83
4E5B	乛	1_2E82
4E5C	乜	3_0551
4E5D	九	3_0339
4E5E	乞	2_FE52/0_2F04
4E5F	也	3_0308
4E60	习	3_0157
4E61	乡	3_0407
4E62	乢	0_2F2D/1_2E83
4E63	乣	0_2F33/1_2E83
4E64	乤	3_0397/0_2F04
4E65	乥	0_2F03/3_0004/0_2F04
4E66	书	3_0553
4E67	乧	0_2F04/1_2E80/0_2F17
4E68	乨	0_2F1B/0_2F1D/1_2E83
4E69	乩	1_2E8A/0_2F1D/1_2E83
4E6A	乪	0_2F04/0_2F65
4E6B	乫	0_2F12/0_2F1D/0_2F04
4E6C	乬	3_0372/0_2F04
4E6D	乭	0_2F6F/0_2F04
4E6E	乮	2_AAF6/3_0247/0_2F04
4E6F	乯	3_0438/0_2F04
4E70	买	1_2E82/1_2E80/5_2F241
4E71	乱	1_2E83/0_2F32/0_2F1D
4E72	乲	0_2F0E/3_0165/0_2F08/0_2F04
4E73	乳	1_2EA4/3_0137/1_2E83
4E74	乴	1_2E98/0_2F44/0_2F04
4E75	乵	0_2F74/0_2F17/1_2E83
4E76	乶	3_0275/0_2F04
4E77	乷	0_2F04/1_2EA1/0_2F29/0_2F03
4E78	乸	3_0308/1_2E9F
4E79	乹	0_2F17/0_2F47/0_2F17/1_2E83
4E7A	乺	0_2F3E/0_2F44/0_2F04
4E7B	乻	0_2F45/0_2F08/1_2E80/0_2F04
4E7C	乼	1_2EA1/0_2F02/3_0072/0_2F04
4E7D	乽	1_2EB9/0_2F47/0_2F04
4E7E	乾	0_2F17/0_2F47/0_2F17/2_FE52/0_2F04
4E7F	乿	1_2EA4/0_2F77/1_2E83
4E80	亀	1_2E88/3_0345
4E81	亁	0_2F17/1_2E9C/0_2F32/2_FE52/0_2F04
4E82	亂	1_2EA4/3_0243/0_2F0C/0_2F1B/0_2F1C/1_2E83
4E83	亃	5_2F761/0_2F23/2_AAD6/1_2E83
4E84	亄	0_2F20/0_2F0D/0_2F00/0_2F1D/2_AAF9/1_2E83
4E85	亅	0_2F05
4E86	了	3_0375
4E87	亇	3_0165/0_2F05
4E88	予	3_0412
4E89	争	1_2E88/2_ABE3
4E8A	亊	3_0530
4E8B	事	3_0529
4E8C	二	0_2F06
4E8D	亍	0_2F00/3_0224
4E8E	于	3_0396
4E8F	亏	0_2F00/3_0159
4E90	亐	3_0537
4E91	云	0_2F06/0_2F1B
4E92	互	0_2F00/1_2E94
4E93	亓	0_2F00/3_0384
4E94	五	3_0383
4E95	井	3_0458
4E96	亖	0_2F06/0_2F06
4E97	亗	0_2F2D/0_2F06
4E98	亘	0_2F00/0_2F47/0_2F00
4E99	亙	0_2F00/3_0023/0_2F00
4E9A	亚	3_0326
4E9B	些	5_2F4C1/0_2F14/0_2F06
4E9C	亜	3_0328
4E9D	亝	0_2F1B/0_2F1B/0_2F1B/0_2F06
4E9E	亞	3_0327
4E9F	亟	0_2F1D/3_0159/5_2F1C1/0_2F00
4EA0	亠	0_2F07
4EA1	亡	3_0302
4EA2	亢	0_2F07/0_2F0F
4EA3	亣	0_2F07/2_AAB7
4EA4	交	0_2F07/0_2F57
4EA5	亥	0_2F07/3_0367/5_2F081
4EA6	亦	0_2F07/2_AEC2
4EA7	产	0_2F74/0_2F03
4EA8	亨	0_2F07/0_2F1D/3_0375
4EA9	亩	0_2F07/0_2F65
4EAA	亪	0_2F07/2_AEC2/3_0522
4EAB	享	0_2F07/0_2F1D/0_2F26
4EAC	京	0_2F07/0_2F1D/0_2F29
4EAD	亭	0_2F07/0_2F1D/0_2F0D/3_0224
4EAE	亮	0_2F07/0_2F1D/0_2F0D/0_2F09
4EAF	亯	0_2F07/0_2F1D/0_2F47
4EB0	亰	0_2F07/1_2E9C/0_2F29
4EB1	亱	0_2F07/1_2E85/0_2F47/0_2F00
4EB2	亲	0_2F74/3_0006
4EB3	亳	0_2F07/0_2F1D/0_2F0D/0_2F03/3_0040
4EB4	亴	0_2F07/0_2F1D/0_2F0D/2_AACB/3_0339
4EB5	亵	0_2F07/2_ABDE/1_2E98/3_0309
4EB6	亶	0_2F07/0_2F1E/0_2F1D/0_2F47/0_2F00
4EB7	亷	0_2F74/0_2F03/2_ADBD
4EB8	亸	3_0137/0_2F07/0_2F1D/3_0004/2_ACE0
4EB9	亹	0_2F07/1_2EBD/0_2F0C/0_2F00/0_2F1D/0_2F0D/3_0270
4EBA	人	0_2F08
4EBB	亻	1_2E85
4EBC	亼	0_2F08/0_2F00
4EBD	亽	0_2F08/0_2F02
4EBE	亾	2_AAA5/0_2F08
4EBF	亿	1_2E85/0_2F04
4EC0	什	1_2E85/0_2F17
4EC1	仁	1_2E85/0_2F06
4EC2	仂	1_2E85/0_2F12
4EC3	仃	1_2E85/3_0224
4EC4	仄	0_2F1A/0_2F08
4EC5	仅	1_2E85/0_2F1C
4EC6	仆	1_2E85/0_2F18
4EC7	仇	1_2E85/3_0339
4EC8	仈	1_2E85/3_0003
4EC9	仉	1_2E85/0_2F0F
4ECA	今	0_2F08/0_2F00/3_0167
4ECB	介	0_2F08/2_AAB7
4ECC	仌	5_2F081/0_2F08
4ECD	仍	1_2E85/3_0331
4ECE	从	5_2F081/0_2F08
4ECF	仏	1_2E85/0_2F1B
4ED0	仐	0_2F08/0_2F17
4ED1	仑	0_2F08/0_2F14
4ED2	仒	0_2F08/1_2E80
4ED3	仓	0_2F08/1_2E8B
4ED4	仔	1_2E85/0_2F26
4ED5	仕	1_2E85/0_2F20
4ED6	他	1_2E85/3_0308
4ED7	仗	1_2E85/3_0517
4ED8	付	1_2E85/0_2F28
4ED9	仙	1_2E85/0_2F2D
4EDA	仚	0_2F08/0_2F2D
4EDB	仛	1_2E85/0_2F03/3_0040
4EDC	仜	1_2E85/0_2F2F
4EDD	仝	0_2F08/0_2F2F
4EDE	仞	1_2E85/0_2F11/0_2F02
4EDF	仟	1_2E85/3_0273
4EE0	仠	1_2E85/3_0273
4EE1	仡	1_2E85/2_FE52/0_2F04
4EE2	仢	1_2E85/0_2F13/0_2F02
4EE3	代	1_2E85/0_2F37
4EE4	令	0_2F08/0_2F00/3_0243
4EE5	以	3_0493/5_2F081
4EE6	仦	1_2E85/0_2F29
4EE7	仧	3_0316/0_2F08
4EE8	仨	1_2E85/3_0507
4EE9	仩	1_2E85/3_0316
4EEA	仪	1_2E85/0_2F02/3_0110
4EEB	仫	1_2E85/0_2F03/0_2F1B
4EEC	们	1_2E85/1_2ED4
4EED	仭	1_2E85/3_0513
4EEE	仮	1_2E85/1_2E81/0_2F1C
4EEF	仯	1_2E85/0_2F29/0_2F03
4EF0	仰	1_2E85/2_AABE/3_0247
4EF1	仱	1_2E85/0_2F08/0_2F00/3_0167
4EF2	仲	1_2E85/3_0274
4EF3	仳	1_2E85/3_0043/5_2F141
4EF4	仴	1_2E85/0_2F49
4EF5	仵	1_2E85/2_FE52/0_2F17
4EF6	件	1_2E85/0_2F5C
4EF7	价	1_2E85/0_2F08/2_AAB7
4EF8	仸	1_2E85/0_2F03/0_2F24
4EF9	仹	1_2E85/3_0215
4EFA	仺	0_2F08/2_AAD4
4EFB	任	1_2E85/0_2F00/0_2F20
4EFC	仼	1_2E85/3_0072
4EFD	份	1_2E85/3_0003/0_2F11
4EFE	仾	1_2E85/0_2F00/1_2E94
4EFF	仿	1_2E85/0_2F45
4F00	伀	1_2E85/3_0003/0_2F1B
4F01	企	0_2F08/0_2F4C
4F02	伂	1_2E85/3_0474
4F03	伃	1_2E85/3_0412
4F04	伄	1_2E85/3_0382
4F05	伅	1_2E85/3_0369
4F06	伆	1_2E85/0_2F13/3_0242
4F07	伇	1_2E85/5_2F0F1/0_2F1C
4F08	伈	1_2E85/0_2F3C
4F09	伉	1_2E85/0_2F07/0_2F0F
4F0A	伊	1_2E85/3_0380
4F0B	伋	1_2E85/3_0408
4F0C	伌	1_2E85/0_2F1A/1_2E8B
4F0D	伍	1_2E85/3_0383
4F0E	伎	1_2E85/0_2F17/0_2F1C
4F0F	伏	1_2E85/0_2F5D
4F10	伐	1_2E85/0_2F3D
4F11	休	1_2E85/0_2F4A
4F12	伒	1_2E85/0_2F44
4F13	伓	1_2E85/3_0310
4F14	伔	1_2E85/0_2F0D/0_2F0F
4F15	伕	1_2E85/3_0170
4F16	伖	1_2E85/3_0115/0_2F1C
4F17	众	0_2F08/5_2F081
4F18	优	1_2E85/1_2E90/0_2F02
4F19	伙	1_2E85/0_2F55
4F1A	会	0_2F08/0_2F06/0_2F1B
4F1B	伛	1_2E85/0_2F16/5_01101
4F1C	伜	1_2E85/3_0339/0_2F17
4F1D	伝	1_2E85/0_2F06/0_2F1B
4F1E	伞	0_2F08/3_0004/0_2F17
4F1F	伟	1_2E85/1_2ED9
4F20	传	1_2E85/3_0516
4F21	伡	1_2E85/1_2ECB
4F22	伢	1_2E85/0_2F5B
4F23	伣	1_2E85/1_2EC5
4F24	伤	1_2E85/2_FE52/0_2F12
4F25	伥	1_2E85/1_2ED3
4F26	伦	1_2E85/0_2F08/0_2F14
4F27	伧	1_2E85/0_2F08/1_2E8B
4F28	伨	1_2E85/0_2F13/0_2F06
4F29	伩	1_2E85/0_2F42
4F2A	伪	1_2E85/3_0417
4F2B	伫	1_2E85/0_2F27/0_2F00
4F2C	伬	1_2E85/3_0429
4F2D	伭	1_2E85/0_2F07/0_2F33
4F2E	伮	1_2E85/5_2F251/0_2F1C
4F2F	伯	1_2E85/0_2F69
4F30	估	1_2E85/0_2F17/0_2F1D
4F31	伱	1_2E85/0_2F08/0_2F29
4F32	伲	1_2E85/0_2F2B/0_2F14
4F33	伳	1_2E85/3_0299
4F34	伴	1_2E85/3_0004/2_AACB
4F35	伵	1_2E85/3_0104
4F36	伶	1_2E85/0_2F08/0_2F00/3_0243
4F37	伷	1_2E85/3_0237
4F38	伸	1_2E85/3_0393
4F39	伹	1_2E85/3_0270
4F3A	伺	1_2E85/3_0338/0_2F00/0_2F1D
4F3B	伻	1_2E85/0_2F32/3_0004
4F3C	似	1_2E85/3_0493/5_2F081
4F3D	伽	1_2E85/0_2F12/0_2F1D
4F3E	伾	1_2E85/3_0310/0_2F00
4F3F	伿	1_2E85/0_2F1D/5_4E371
4F40	佀	1_2E85/2_AEB4
4F41	佁	1_2E85/0_2F1B/0_2F1D
4F42	佂	1_2E85/0_2F00/0_2F4C
4F43	佃	1_2E85/0_2F65
4F44	佄	1_2E85/0_2F62
4F45	佅	1_2E85/3_0261
4F46	但	1_2E85/0_2F47/0_2F00
4F47	佇	1_2E85/0_2F27/3_0224
4F48	佈	1_2E85/3_0115/0_2F31
4F49	佉	1_2E85/0_2F1F/0_2F1B
4F4A	佊	1_2E85/0_2F6A
4F4B	佋	1_2E85/0_2F11/0_2F1D
4F4C	佌	1_2E85/5_2F4C1/0_2F14
4F4D	位	1_2E85/0_2F74
4F4E	低	1_2E85/0_2F52/0_2F02
4F4F	住	1_2E85/0_2F02/3_0072
4F50	佐	1_2E85/3_0115/0_2F2F
4F51	佑	1_2E85/3_0115/0_2F1D
4F52	佒	1_2E85/5_03541
4F53	体	1_2E85/3_0464
4F54	佔	1_2E85/1_2E8A/0_2F1D
4F55	何	1_2E85/3_0160/0_2F1D
4F56	佖	1_2E85/3_0364
4F57	佗	1_2E85/0_2F27/0_2F14
4F58	佘	0_2F08/0_2F70
4F59	余	3_0006/0_2F08/0_2F00
4F5A	佚	1_2E85/0_2F03/3_0170
4F5B	佛	1_2E85/3_0377
4F5C	作	1_2E85/3_0363
4F5D	佝	1_2E85/0_2F13/0_2F1D
4F5E	佞	1_2E85/0_2F06/0_2F25
4F5F	佟	1_2E85/0_2F21/1_2E80
4F60	你	1_2E85/3_0165/0_2F29
4F61	佡	1_2E85/0_2F0A/0_2F2D
4F62	佢	1_2E85/3_0372
4F63	佣	1_2EAE/0_2F71/0_2F07/0_2F10/5_01101
4F64	佤	1_2E85/0_2F61
4F65	佥	0_2F08/0_2F00/1_2E8D
4F66	佦	1_2E85/0_2F6F
4F67	佧	1_2E85/3_0316/0_2F18
4F68	佨	1_2E85/0_2F13/1_2E92
4F69	佩	1_2E85/0_2F0F/0_2F00/0_2F31
4F6A	佪	1_2E85/0_2F1E/0_2F1D
4F6B	佫	1_2E85/0_2F21/0_2F1D
4F6C	佬	1_2E85/1_2EB9/5_2F143
4F6D	佭	1_2E85/0_2F21/2_AAD6
4F6E	佮	1_2E85/0_2F08/0_2F00/0_2F1D
4F6F	佯	1_2E85/0_2F7A
4F70	佰	1_2E85/0_2F00/0_2F69
4F71	佱	0_2F08/0_2F00/0_2F00/0_2F4C
4F72	佲	1_2E85/0_2F23/0_2F1D
4F73	佳	1_2E85/0_2F1F/0_2F1F
4F74	佴	1_2E85/0_2F7F
4F75	併	1_2E85/2_AAF9/3_0164
4F76	佶	1_2E85/0_2F20/0_2F1D
4F77	佷	1_2E85/0_2F89
4F78	佸	1_2E85/0_2F32/0_2F1D
4F79	佹	1_2E85/1_2E88/0_2F1A/1_2E8B
4F7A	佺	1_2E85/0_2F0A/3_0072
4F7B	佻	1_2E85/3_0362
4F7C	佼	1_2E85/0_2F07/0_2F57
4F7D	佽	1_2E85/0_2F0E/3_0165/0_2F08
4F7E	佾	1_2E85/3_0003/1_2E9D
4F7F	使	1_2E85/3_0543
4F80	侀	1_2E85/0_2F00/0_2F36/1_2E89
4F81	侁	1_2E85/1_2EA7/0_2F09
4F82	侂	1_2E85/0_2F34/0_2F03/3_0040
4F83	侃	1_2E85/0_2F1D/5_AAEB1
4F84	侄	1_2E85/2_AADA/0_2F1F
4F85	侅	1_2E85/0_2F07/3_0367/5_2F081
4F86	來	0_2F4A/5_2F081/0_2F08
4F87	侇	1_2E85/3_0450
4F88	侈	1_2E85/0_2F23/0_2F23
4F89	侉	1_2E85/0_2F24/0_2F00/3_0159
4F8A	侊	1_2E85/1_2E8C/1_2E8E
4F8B	例	1_2E85/0_2F4D/1_2E89
4F8C	侌	0_2F08/0_2F00/3_0167/0_2F06/0_2F1B
4F8D	侍	1_2E85/0_2F1F/0_2F28
4F8E	侎	1_2E85/0_2F76
4F8F	侏	1_2E85/0_2F03/3_0261
4F90	侐	1_2E85/0_2F03/0_2F6B
4F91	侑	1_2E85/3_0115/1_2E9D
4F92	侒	1_2E85/0_2F27/0_2F25
4F93	侓	1_2E85/0_2F80
4F94	侔	1_2E85/0_2F1B/0_2F5C
4F95	侕	1_2E85/0_2F7D
4F96	侖	0_2F08/0_2F00/2_ACB6
4F97	侗	1_2E85/0_2F0C/0_2F00/0_2F1D
4F98	侘	1_2E85/0_2F27/0_2F03/3_0040
4F99	侙	1_2E85/0_2F37/5_2F2F1
4F9A	侚	1_2E85/0_2F13/0_2F47
4F9B	供	1_2E85/3_0161/5_4E371
4F9C	侜	1_2E85/0_2F88
4F9D	依	1_2E85/0_2F90
